Timestamp,BC_Light values,BC_Motion detected ,BC_Temperature,DT_Light values,DT_Motion detected ,DT_Temperature,K_Light values,K_Motion detected ,K_Temperature,PL_Light values,PL_Motion detected ,PL_Temperature,SF_Light values,SF_Motion detected ,SF_Temperature,SH_Light values,SH_Motion detected ,SH_Temperature,SL_Light values,SL_Motion detected ,SL_Temperature,STAFF_Light values,STAFF_Motion detected ,STAFF_Temperature
2021-05-27 08:00:00,725.25,1.0,-33.28,805.1666666666666,,-19.400000000000002,589.5405405405405,3.0,-21.085675675675677,665.875,,221.45437499999994,697.3333333333334,,-17.61,739.7857142857143,2.0,-24.71357142857143,684.3333333333334,1.0,-27.004545454545454,315.87012987012986,15.0,19.33467532467547
2021-05-27 08:30:00,723.3689706809583,0.0,-32.215995822824716,804.3269316859163,,-18.63539305219805,581.8952178909345,0.0,-20.24007113646469,665.4843181818181,,217.45687840909085,691.1671986624108,,-16.853511171910625,739.8509801382169,0.0,-23.861720477366166,674.8324646314222,0.0,-26.038865197018584,317.6561433447099,28.0,19.138481228668905
2021-05-27 09:00:00,721.4879413619168,0.0,-31.15199164564943,803.4871967051661,,-17.870786104396096,574.2498952413284,0.0,-19.394466597253704,665.0936363636364,,213.45938181818175,685.0010639914881,,-16.097022343821248,739.9162459907194,0.0,-23.0098695261609,665.3315959295111,0.0,-25.07318493949171,315.2783945345858,67.0,19.183450042698578
2021-05-27 09:30:00,719.6069120428751,0.0,-30.087987468474147,802.6474617244157,,-17.106179156594145,566.6045725917224,0.0,-18.548862058042715,664.7029545454545,,209.46188522727266,678.8349293205655,,-15.340533515731874,739.981511843222,0.0,-22.158018574955637,655.8307272275999,0.0,-24.10750468196484,321.23805460750856,23.0,19.13011945392484
2021-05-27 10:00:00,717.7258827238336,0.0,-29.023983291298862,801.8077267436655,,-16.34157220879219,558.9592499421163,0.0,-17.703257518831727,664.3122727272728,,205.4643886363636,672.6687946496428,,-14.584044687642498,740.0467776957246,0.0,-21.306167623750373,646.3298585256888,0.0,-23.14182442443797,271.2264957264957,95.0,19.443094017093962
2021-05-27 10:30:00,715.8448534047919,0.0,-27.959979114123577,800.9679917629152,,-15.576965260990239,551.3139272925104,0.0,-16.857652979620738,663.9215909090909,,201.4668920454545,666.5026599787202,,-13.827555859553122,740.1120435482271,0.0,-20.454316672545108,636.8289898237776,0.0,-22.1761441669111,302.2145299145299,97.0,19.461111111111038
2021-05-27 11:00:00,713.9638240857503,0.0,-26.895974936948292,800.1282567821648,,-14.812358313188286,543.6686046429043,0.0,-16.01204844040975,663.5309090909091,,197.4693954545454,660.3365253077976,,-13.071067031463746,740.1773094007297,0.0,-19.602465721339847,627.3281211218665,0.0,-21.21046390938423,365.2090443686007,35.0,19.19923208191129
2021-05-27 11:30:00,712.0827947667087,0.0,-25.831970759773007,799.2885218014146,,-14.047751365386333,536.0232819932983,0.0,-15.166443901198765,663.1402272727273,,193.4718988636363,654.1703906368749,,-12.31457820337437,740.2425752532323,0.0,-18.750614770134582,617.8272524199554,0.0,-20.244783651857357,412.7349823321555,20.0,19.76515901060074
2021-05-27 12:00:00,710.2017654476671,0.0,-24.767966582597722,798.4487868206643,,-13.283144417584381,528.3779593436923,0.0,-14.320839361987776,662.7495454545455,,189.47440227272722,648.0042559659523,,-11.558089375284997,740.3078411057348,0.0,-17.898763818929318,608.3263837180442,0.0,-19.279103394330487,451.76776599921476,0.0,20.238655389783204
2021-05-27 12:30:00,708.3207361286254,0.0,-23.703962405422438,797.6090518399141,,-12.518537469782427,520.7326366940862,0.0,-13.475234822776788,662.3588636363636,,185.47690568181812,641.8381212950296,,-10.80160054719562,740.3731069582374,0.0,-17.046912867724053,598.8255150161331,0.0,-18.313423136803618,490.8005496662741,0.0,20.712151768965665
2021-05-27 13:00:00,706.4397068095839,0.0,-22.639958228247153,796.7693168591637,,-11.753930521980475,513.0873140444802,0.0,-12.6296302835658,661.9681818181818,,181.47940909090903,635.671986624107,,-10.045111719106245,740.4383728107399,0.0,-16.19506191651879,589.3246463142219,0.0,-17.347742879276744,529.8333333333334,0.0,21.18564814814813
2021-05-27 13:30:00,704.5586774905422,0.0,-21.575954051071868,795.9295818784135,,-10.989323574178522,505.4419913948741,0.0,-11.784025744354814,661.5775,,177.48191249999996,629.5058519531844,,-9.28862289101687,740.5036386632426,0.0,-15.343210965313522,579.8237776123108,0.0,-16.382062621749874,542.6871794871795,94.0,20.466213675213663
2021-05-27 14:00:00,702.6776481715007,0.0,-20.511949873896583,795.0898468976632,,-10.22471662637657,497.7966687452681,0.0,-10.938421205143825,661.1868181818182,,173.48441590909087,623.3397172822617,,-8.532134062927494,740.5689045157451,0.0,-14.49136001410826,570.3229089103996,0.0,-15.416382364223004,527.8836612489307,132.0,20.587485029939952
2021-05-27 14:30:00,700.796618852459,0.0,-19.4479456967213,794.2501119169128,,-9.460109678574616,490.151346095662,0.0,-10.092816665932837,660.7961363636364,,169.48691931818178,617.1735826113392,,-7.775645234838118,740.6341703682476,0.0,-13.639509062902995,560.8220402084885,0.0,-14.450702106696134,437.1160409556314,18.0,20.609778156996462
2021-05-27 15:00:00,698.9155895334173,0.0,-18.383941519546013,793.4103769361626,,-8.695502730772665,482.506023446056,0.0,-9.24721212672185,660.4054545454545,,165.48942272727268,611.0074479404165,,-7.019156406748744,740.6994362207502,0.0,-12.78765811169773,551.3211715065773,0.0,-13.485021849169263,451.98377455166525,65.0,20.608360375747072
