Reading Date,One Day Total kWh,Status,Substitute Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
2021-02-23,3577.436,ORIG,,61.982,43.421,104.841,100.116,103.041,89.43,80.543,80.656,97.304,80.993,97.304,100.679,91.164,93.153,80.556,77.13,100.778,94.921,74.036,82.324,96.358,90.722,94.811,73.926,80.114,102.435,81.661,85.971,86.192,88.291,82.987,69.837,79.34,79.672,67.959,84.534,41.328,34.145,48.51,37.46,39.339,51.494,33.261,34.256,52.599,37.681,39.339,48.842
2021-02-24,3335.395,ORIG,,46.742,31.825,95.474,103.872,104.093,87.518,84.534,74.368,90.501,71.163,83.208,88.07,73.794,90.79,84.759,92.654,104.387,81.141,73.356,81.031,75.0,79.496,79.606,90.022,85.198,66.667,81.36,70.724,91.229,79.715,84.101,67.764,75.11,78.948,75.329,62.61,42.654,35.636,36.075,40.79,40.57,38.268,32.676,51.974,32.676,50.877,19.847,27.193
2021-02-25,3505.274,ORIG,,55.483,37.61,111.294,103.509,104.715,75.768,73.027,70.505,86.185,66.777,69.079,75.549,91.066,70.792,86.856,84.308,72.232,104.804,83.422,95.276,95.276,96.827,101.037,96.827,92.506,82.536,77.439,78.436,92.839,63.591,76.885,92.174,66.582,94.279,92.949,94.168,55.504,36.116,37.113,54.839,29.248,44.758,52.291,40.326,34.565,54.396,26.921,26.589
2021-02-26,3684.46,ORIG,,62.373,59.271,96.384,116.215,118.43,100.704,81.538,84.087,93.836,83.311,95.608,83.976,96.082,95.642,100.479,95.313,92.454,94.873,92.234,102.019,80.142,90.476,95.642,81.131,105.976,102.568,90.695,94.873,98.83,89.596,74.205,72.117,63.102,71.347,87.287,73.985,40.566,40.016,37.707,52.438,35.948,41.225,53.758,26.494,45.293,46.832,24.076,23.306
2021-02-27,3316.703,ORIG,,60.134,50.46,113.232,104.217,108.505,85.638,91.685,84.759,89.706,92.784,76.624,96.082,78.383,95.313,91.685,89.926,85.968,83.11,77.503,78.053,75.744,72.117,68.819,72.666,69.698,69.368,66.51,69.368,69.368,67.719,69.478,61.343,76.184,72.666,72.666,67.939,45.183,29.682,45.403,36.718,40.566,40.895,43.974,37.707,45.183,45.732,20.118,30.122
2021-02-28,3506.879,ORIG,,52.768,56.506,111.363,90.585,124.005,83.11,86.298,85.638,79.812,95.642,76.954,92.674,75.334,93.725,79.212,75.445,88.961,82.757,93.06,85.748,86.856,85.194,79.766,90.845,78.215,90.623,72.343,85.084,75.999,70.681,82.646,78.326,77.107,75.778,76.553,81.317,44.204,41.434,47.084,33.347,46.198,35.23,56.612,35.452,50.518,34.787,44.425,40.658
2021-03-01,3848.158,ORIG,,53.066,51.959,93.947,113.445,104.582,100.926,84.087,76.775,88.85,82.536,93.06,80.874,87.524,88.972,89.195,102.78,94.762,103.114,117.256,112.69,115.14,103.114,109.907,94.54,72.046,100.107,98.214,89.529,88.415,81.623,82.068,72.714,85.297,77.28,100.107,75.609,64.474,45.878,48.662,42.983,52.336,48.439,48.773,42.092,50.109,47.103,50.332,40.867
2021-03-02,4001.72,ORIG,,51.0,61.802,110.463,110.352,122.712,96.21,83.85,80.175,100.664,84.406,97.324,88.527,97.951,84.869,93.883,95.093,94.653,100.37,107.295,108.285,93.334,104.547,127.303,104.327,111.253,116.64,122.246,92.784,107.185,85.748,94.213,82.34,95.093,88.827,85.748,73.656,51.999,37.268,52.219,48.701,48.261,51.889,44.963,51.009,40.785,50.24,35.838,33.42
2021-03-03,3907.485,ORIG,,57.935,50.899,105.207,99.82,120.378,99.05,87.727,81.791,97.291,79.152,94.433,84.759,95.862,85.858,109.494,101.579,107.515,114.001,118.399,109.274,108.505,99.05,92.125,112.352,105.097,92.234,102.238,94.983,103.668,104.437,78.932,79.592,103.338,79.702,97.401,67.939,45.293,42.215,37.487,46.832,41.555,34.849,47.381,36.058,48.261,45.623,37.817,22.097
2021-03-04,4117.349,ORIG,,52.658,45.183,104.217,107.625,99.16,94.103,92.344,75.525,88.827,76.624,91.245,74.205,92.125,79.152,103.228,99.71,133.35,138.077,138.077,137.197,121.587,139.066,123.016,119.058,117.409,126.754,110.483,109.604,98.281,113.122,95.313,109.604,60.354,37.048,51.559,37.597,43.534,39.466,64.861,67.939,56.286,44.193,59.694,40.785,59.694,59.914,42.434,46.062
2021-03-05,3819.321,ORIG,,53.538,43.644,103.228,112.792,101.139,109.604,85.748,96.412,97.181,93.444,93.334,91.135,100.37,85.089,107.295,109.384,107.845,110.264,112.462,104.987,115.211,96.522,115.98,107.625,104.217,106.966,103.448,96.082,58.045,61.123,48.261,60.464,54.087,56.616,58.375,51.669,45.623,61.233,41.555,59.034,44.413,56.616,44.633,61.783,56.176,54.087,46.942,33.64
2021-03-06,2285.632,ORIG,,60.024,46.612,52.328,46.502,43.864,56.066,46.612,48.151,50.679,52.438,43.974,45.513,56.396,35.728,50.13,53.977,39.246,50.46,47.272,49.14,53.977,46.282,51.889,37.817,46.392,50.13,39.026,57.825,41.775,44.743,41.665,50.13,40.566,49.8,52.219,39.356,52.548,38.697,57.825,42.325,57.715,43.974,51.339,47.052,46.172,54.307,44.083,30.891
2021-03-07,3446.536,ORIG,,54.857,52.658,70.907,55.077,64.641,39.466,63.652,73.876,60.464,62.662,54.857,53.428,39.576,47.272,45.842,49.03,118.399,103.997,84.539,89.376,91.245,102.568,107.076,111.473,113.012,96.852,101.469,102.678,91.465,88.167,86.848,91.685,91.245,89.706,88.387,96.852,50.35,46.612,57.605,36.608,57.495,39.356,55.407,64.091,59.804,56.836,29.902,57.166
2021-03-08,2949.09,ORIG,,55.297,60.244,53.208,50.57,52.878,53.538,76.514,49.91,52.438,51.889,52.328,78.053,52.464,53.345,71.091,62.273,77.483,71.752,78.696,72.634,93.024,55.88,84.317,81.231,70.87,84.096,113.414,49.598,55.55,60.51,58.856,43.205,49.047,35.711,46.071,48.275,42.654,51.472,41.442,48.496,46.402,103.164,65.8,51.913,46.953,46.622,59.848,88.064
2021-03-09,3752.478,ORIG,,58.746,55.44,55.109,116.611,69.988,52.905,89.938,112.312,49.708,59.628,104.046,82.774,47.394,114.737,136.56,64.367,121.901,147.472,79.026,87.623,122.783,98.094,58.526,136.78,116.059,66.902,109.005,110.328,52.574,83.876,138.323,72.082,94.457,131.821,83.876,53.345,45.52,52.684,31.412,56.211,51.472,43.646,38.466,49.488,47.835,41.111,25.901,33.616
2021-03-10,4261.997,ORIG,,61.722,56.983,113.524,114.075,121.901,100.739,73.405,90.379,81.671,82.002,98.645,94.236,80.415,114.069,96.52,106.627,120.289,122.621,141.503,113.18,116.846,115.402,99.074,119.178,131.618,119.289,118.623,95.965,104.961,116.512,111.07,130.063,109.626,109.848,80.859,72.418,55.091,36.875,55.757,34.654,50.537,38.208,52.758,34.543,43.873,41.096,45.094,37.653
2021-03-11,3904.059,ORIG,,36.209,46.649,95.631,108.515,102.073,82.303,76.749,77.749,79.97,79.193,77.305,89.967,84.758,79.247,107.683,107.132,114.075,109.997,111.21,92.473,113.194,104.817,117.162,115.178,98.645,120.799,108.785,98.976,105.919,114.737,112.092,90.379,80.9,74.177,80.79,74.617,53.456,40.56,48.716,45.189,50.149,41.001,49.818,48.716,43.756,50.37,26.122,36.151
2021-03-12,4040.145,ORIG,,58.415,52.684,110.769,115.508,111.54,79.247,80.239,79.247,94.898,77.814,86.962,73.956,87.293,98.865,76.822,113.304,120.027,121.24,123.885,117.272,116.941,110.218,105.148,97.102,106.25,108.454,123.885,96.441,101.4,106.801,109.336,97.322,95.559,95.779,93.465,82.663,39.017,54.448,46.181,50.48,40.34,48.275,57.203,41.221,43.646,44.859,24.468,23.256
2021-03-13,3454.494,ORIG,,68.666,55.55,112.532,104.156,103.935,93.024,72.744,81.561,85.088,80.018,74.066,86.19,77.742,89.145,81.031,83.663,92.544,68.86,82.895,75.768,89.036,75.11,77.413,76.316,84.101,62.61,76.097,78.071,69.957,79.715,73.794,78.948,74.014,72.369,68.75,72.478,54.825,48.684,44.189,50.768,42.873,49.671,39.035,50.658,53.838,54.715,38.377,48.904
