Timestamp,BC_Light values,BC_Temperature,K_Light values,K_Temperature,PL_Light values,PL_Temperature,SF_Light values,SF_Temperature,SH_Light values,SH_Temperature,SL_Temperature,STAFF_Light values,STAFF_Temperature,BC_Motion detected,DT_Motion detected,SH_Motion detected,PL_Motion detected,STAFF_Motion detected,K_Motion detected
2023-05-18 08:00:00,725.25,18.439255036504818,,8.0,665.875,19.1706994092156,,10.0,739.7857142857143,7.0,9.0,315.87012987012986,7.979260911949229,1.034262081863315,0.9583645960131376,1.0921671430865367,1.070776484345962,1.0599893357066832,0.9173029867305943
2023-05-18 08:30:00,723.3689706809583,18.102504874036924,,8.320900636219779,665.4843181818181,18.81035426698284,,10.355577698402719,739.8509801382169,7.403639774934772,9.37583516402269,317.6561433447099,7.040029939650902,16.54819330981304,15.333833536210202,17.474674289384588,17.13242374953539,16.95982937130693,14.676847787689509
2023-05-18 09:00:00,721.4879413619168,17.765754711569034,,8.641801272439563,665.0936363636364,18.45000912475006,,10.71115539680543,739.9162459907194,7.807279549869554,9.751670328045385,315.2783945345858,7.255307074813922,147.89947770645404,137.04613722987867,156.17990146137475,153.12103726147257,151.5784750060557,131.174327102475
2023-05-18 09:30:00,719.6069120428751,17.42900454910114,,8.962701908659348,664.7029545454545,18.0896639825173,,11.066733095208145,739.981511843222,8.210919324804326,10.127505492068073,321.23805460750856,7.0,127.21423606918775,117.87884530961593,134.336558599644,131.7055075745533,130.37868829192203,112.82826736786309
2023-05-18 10:00:00,717.7258827238336,17.09225438663323,,9.283602544879127,664.3122727272728,17.72931884028454,,11.422310793610864,740.0467776957246,8.614559099739104,10.503340656090767,271.2264957264957,8.498288731686088,77.56965613974863,71.87734470098532,81.91253573149025,80.30823632594715,79.49920017800125,68.79772400479457
2023-05-18 10:30:00,715.8448534047919,16.75550422416532,,9.604503181098906,663.9215909090909,17.368973698051775,,11.77788849201358,740.1120435482271,9.018198874673878,10.879175820113462,302.2145299145299,8.584541137217649,22.75376580099293,21.084021112289026,24.02767714790381,23.55708265561116,23.31976538554703,20.180665708073075
2023-05-18 11:00:00,713.9638240857503,16.418754061697438,,9.925403817318687,663.5309090909091,17.008628555819016,,12.133466190416295,740.1773094007297,9.421838649608652,11.25501098413615,365.2090443686007,7.33085970527693,66.19277323925216,61.33533414484081,69.89869715753835,68.52969499814157,67.83931748522772,58.707391150758035
2023-05-18 11:30:00,712.0827947667087,16.082003899229548,,10.246304453538466,663.1402272727273,16.648283413586256,,12.489043888819008,740.2425752532323,9.825478424543432,11.630846148158847,412.7349823321555,10.040095662433421,39.301959110805974,36.41785464849923,41.5023514372884,40.68950640514655,40.27959475685396,34.85751349576258
2023-05-18 12:00:00,710.2017654476671,15.745253736761637,,10.567205089758247,662.7495454545455,16.28793827135351,,12.84462158722172,740.3078411057348,10.22911819947821,12.006681312181536,451.7677659992148,12.306843101074003,1.034262081863315,0.9583645960131376,1.0921671430865367,1.070776484345962,1.0599893357066832,0.9173029867305943
2023-05-18 12:30:00,708.3207361286254,15.408503574293754,,10.88810572597803,662.3588636363636,15.927593129120723,,13.200199285624441,740.3731069582374,10.632757974412986,12.382516476204238,490.8005496662741,14.573590539714566,2.06852416372663,1.9167291920262752,2.1843342861730735,2.141552968691924,2.1199786714133664,1.8346059734611886
2023-05-18 13:00:00,706.4397068095839,15.071753411825842,,11.20900636219781,661.9681818181818,15.567247986887974,,13.55577698402716,740.4383728107399,11.036397749347762,12.758351640226923,529.8333333333334,16.84033797835513,169.61898142558366,157.17179374615458,179.11541146619203,175.60734343273776,173.83825105589605,150.43768982381746
2023-05-18 13:30:00,704.5586774905422,14.735003249357964,,11.529906998417596,661.5775,15.206902844655218,,13.911354682429867,740.5036386632426,11.440037524282541,13.134186804249614,542.6871794871795,13.396222414874753,102.39194610446819,94.87809500530062,108.12454716556714,106.00687195025023,104.93894423496164,90.81299568632883
2023-05-18 14:00:00,702.6776481715007,14.398253086890051,,11.850807634637377,661.1868181818182,14.846557702422448,,14.26693238083259,740.5689045157451,11.843677299217319,13.510021968272302,527.8836612489307,13.976779193747934,170.65324350744697,158.1301583421677,180.20757860927856,176.67811991708373,174.8982403916027,151.35499281054805
2023-05-18 14:30:00,700.796618852459,14.061502924422157,,12.171708270857149,660.7961363636364,14.4862125601897,,14.622510079235298,740.6341703682476,12.247317074152095,13.885857132294992,437.1160409556314,14.083502055582453,204.78389220893638,189.75619001060124,216.24909433113427,212.01374390050046,209.87788846992328,181.62599137265767
2023-05-18 15:00:00,698.9155895334173,13.724752761954262,,12.492608907076932,660.4054545454545,14.125867417956936,,14.97808777763802,740.6994362207502,12.650956849086864,14.261692296317687,451.9837745516653,14.07671477661496,42.404745356395914,39.292948436538644,44.77885286654801,43.90183585818444,43.45956276397401,37.609422455954366
2023-05-18 15:30:00,697.0345602143758,13.388002599486361,,12.813509543296718,660.0147727272728,13.765522275724184,,15.333665476040732,740.7647020732527,13.054596624021645,14.637527460340387,613.8128205128205,15.393121086395738,12.41114498235978,11.500375152157652,13.10600571703844,12.849317812151543,12.719872028480198,11.007635840767131
2023-05-18 16:00:00,695.1535308953341,13.051252437018462,,13.134410179516495,659.6240909090909,13.405177133491405,,15.689243174443446,740.8299679257553,13.45823639895642,15.013362624363074,529.2025641025641,15.970537569726865,35.16491078335271,32.58439626444668,37.13368286494225,36.40640046776271,36.039637414027226,31.188301548840204
